,isbn,title,rating,age,UserID,description,num_pages,image_url,emotion_NRC
0,9780385903721,The Alchemyst : the Secrets of the Immortal Nicholas Flamel,0.0,12,0,"While working at pleasant but mundane summer jobs in San Francisco, fifteen-year-old twins, Sophie and Josh, suddenly find themselves caught up in the deadly, centuries-old struggle between rival alchemists, Nicholas Flamel and John Dee, over the possession of an ancient and powerful book holding the secret formulas for alchemy and everlasting life.",375,http://books.google.com/books/content?id=iTeSngEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,
1,9781442445932,Keeper of the Lost Cities,5.0,11,1,"At age twelve, Sophie learns that the remarkable abilities that have always caused her to stand out identify her as an elf, and after being brought to Eternalia to hone her skills, discovers that she has secrets buried in her memory for which some would kill.",0,https://covers.openlibrary.org/b/id/9246546-L.jpg,
2,531088731,Zzzng! zzzng! zzzng! : a Yoruba Tale,5.0,6,2,"When Ear, Leg, and Arm refuse to marry Mosquito, she shows them that she is
not to be ignored.",32,https://covers.openlibrary.org/b/id/362878-L.jpg,
3,9780439554909,Harry Potter and the Goblet of Fire,5.0,10,3,"Fourteen-year-old Harry Potter joins the Weasleys at the Quidditch World Cup, then enters his fourth year at Hogwarts Academy where he is mysteriously entered in an unusual contest that challenges his wizarding skills, friendships and character, amid signs that an old enemy is growing stronger.",0,,
4,9780061791185, The Unseen Guest ,5.0,9,4,"""Miss Penelope Lumley embarks on an investigation into the mysteries surrounding the Incorrigible children, Lord Ashton, the forests of Ashton Place, and her own past""-- Provided by publisher.",0,https://covers.openlibrary.org/b/id/7270647-L.jpg,
5,9780375966675,The Running Dream,5.0,10,5,"When a school bus accident leaves sixteen-year-old Jessica an amputee, she returns to school with a prosthetic limb and her track team finds a wonderful way to help rekindle her dream of running again.",0,https://covers.openlibrary.org/b/id/6678743-L.jpg,
6,9780316201544,The Land of Stories : The Enchantress Returns ,5.0,8,6,"After decades of hiding, the evil Enchantress who cursed Sleeping Beauty is
back with a vengeance. Alex and Conner Bailey have not been back to the
magical Land of Stories since their adventures in The Wishing Spell ended.
But one night, they learn the famed Enchantress has kidnapped their mother!
Against the will of their grandmother, the twins must find their own way
into the Land of Stories to rescue their mother and save the fairy tale
world from the greatest threat it's ever faced.",0,https://covers.openlibrary.org/b/id/7905224-L.jpg,
7,60095903,The Third Wish,5.0,8,7,"In the Storytelling Charms series, this fantasy story for young children tells how Jessie, with the help of the mermaids of Undersea, seeks for the magic wishstone. Includes a gold-coloured charm. Other publications in the same series include 'The Flower Fairies' and 'The Charm Bracelet'.",113,https://covers.openlibrary.org/b/id/6824079-L.jpg,
8,9781465444578,Sea Otters,5.0,4,8,"Get a close-up look at the lives of sea otters and watch them eat, play, groom, and dive together. Filled with bold, adorable images of these aquatic creatures in their natural habitat, Sea Otters explores a day in the life of these furry, whiskered marine mammals.  Perfect for 3–5 year olds learning to read, Level 1 titles contain short, simple sentences with an emphasis on frequently used words. Stunning photographic images with labels provide visual clues to introduce and reinforce vocabulary.",24,https://covers.openlibrary.org/b/id/9588178-L.jpg,
9,9781338055023,Rosalie the Rapunzel Fairy,5.0,6,9,"Once upon a time in Fairyland. . . . Jack Frost is up to his old tricks
again. He has sent his goblins to steal the Storybook Fairies' magic
objects -- and now readers' favorite stories are all mixed up. Rosalie's
magic hairbrush is missing-- only Rachel and Kirsty can help her get it
back!",65,https://covers.openlibrary.org/b/id/9242662-L.jpg,
