,Unnamed: 0,Nid,ISBN,description,Title,Author,Lib Note,What is the story about?/What happened in the story?,Who is your favorite character in the story? Why?,Why did you decide to read this book? Did a friend suggest it? Did it have an interesting cover?,Why did you like this story? or Why did you not like this story?,Other thoughts or feelings about this story? Anything else to add?,Rate Your Read,Reviews Titles,Your Age,UserID,emotion_emoData
0,0,95339,9780385903721,"When the legend that Nicholas Flamel lives due to his ability to make the
elixir for life is discovered to be true, Dr. John Dee begins his plot to
steal the Book of Abraham the Mage from him in order to rule the world, but
knowing that they are the only ones with the power to stop him, Josh and
Sophie quickly set their own plan in motion to do so.",The Alchemyst : the Secrets of the Immortal Nicholas Flamel,Michael Scott,,A group of people who are after a small book that is powerful and worn on a necklace. The book gives the wearer immortality. Someone stole it.,"Nicholas Flamel, he is the most interesting character.",My brother suggested the book and we own it. The cover is also really cool.,There is magic and mystery.,It is part of a series and can't wait to read the rest.,0/5,,12.0,0.0,
1,1,95242,9781442445932,"At age 12, Sophie learns that the remarkable abilities that have always
made her different from others actually identify her as an elf, and after
being brought to Eternalia to hone her skills, she discovers that she has
secrets buried in her memory for which some would kill.",Keeper of the Lost Cities,Shannon Messenger ,,"The book is about Sophie's life when she finds out that she is an elf. Not from Santa's Workshop, but more from Middle Earth.",My favorite character is Sophie because she is really cool.,It was on the new shelf and it had a cool cover.,I LOVED THE WHOLE BOOK BECAUSE IT'S AWESOME.,There's a whole series and the sequel is amazing.,5/5,,11.0,1.0,
2,2,95191,531088731,"When Mosquito tries to marry Ear, she is rudely refused and sets off to marry another part of the body, but no one will have her, and in the end, she turns to biting to show them she simply will not go away.",Zzzng! zzzng! zzzng! : a Yoruba Tale,Phillis Gershator,You can find more folktales and fairy tales in our Juvenile Nonfiction section at the call number J 398.2.,A mosquito was trying to find love. She got angry and stung people. Then she found love.,Mosquito because she kept trying.,I decided to read it because mosquitos bite me all the time and I saw one on the front of the book. ,I liked this story because I like mosquitos. ,No.,5/5,,6.0,2.0,
3,3,95175,9780439554909,"""'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'"" The Triwizard Tournament is to be held at Hogwarts. Only wizards who are over seventeen are allowed to enter - but that doesn't stop Harry dreaming that he will win the competition. Then at Hallowe'en, when the Goblet of Fire makes its selection, Harry is amazed to find his name is one of those that the magical cup picks out. He will face death-defying tasks, dragons, and dark wizards, but with the help of his best friends, Ron and Hermione, he might just make it through - alive!",Harry Potter and the Goblet of Fire,J.K. Rowling,,"This year, Hogwarts will be hosting the Triwizard Tournament. Durmstrang and Beauxbatons, other wizard schools, will also be competing. The Goblet of Fire chooses who will compete in the Tournament. Only one person from each school will be chosen. Harry's name somehow gets put into the Goblet. Then, he gets chosen to compete, even though he's too young. 

On the other hand, Voldemort is rising again. Harry keeps waking up in the middle of the night because of bad dreams about him. 
Harry's different, even by Wizarding Standards. And, like the book says, ""in this case, different is deadly.""",My favorite character is Hermione Granger because she is really smart and she knows to do the right thing at all times. She is willing to help her friends.,"I got the full Harry Potter set for Christmas last year. Since then, I've practically fell in love with these books. I have read books 1-4, but I decided to choose the fourth one to write about because I personally thought it was the BEST so far.",I really liked this story because it had a lot of suspense. It was also really funny. ,J.K. Rowling has become one of my favorite authors. This series will be cherished for ages.,5/5,,10.0,3.0,
4,4,95154,9780061791185,"""Miss Penelope Lumley embarks on an investigation into the mysteries
surrounding the Incorrigible children, Lord Ashton, the forests of Ashton
Place, and her own past""--", The Unseen Guest ,Maryrose Wood,"This is the 3rd book in the series ""The Incorrigible Children of Ashton Place"" by Maryrose Wood.","The story is about three children who were raised by wolves were brought to a family named the Ashtons.  Lord Ashton's widowed mother is going to get married to an explorer who is only getting married to her because he needs more money. Also there is a cave with trunk full of things like pillows, blankets, tea, sugar and tea cups, and they do not know who put them there!
",Cassiopeia because she is very small and cute and wild .,"  I decided to read this book because we enjoyed the first two books. Also I wanted to find out what happens,beacause there are so many mysteries!",I like that things you would never expect happen. I like everything about this story. And it is funny!,no,5/5,,9.0,4.0,
5,5,95153,9780375966675,"When a school bus accident leaves sixteen-year-old Jessica an amputee, she
returns to school with a prosthetic limb and her track team finds a
wonderful way to help rekindle her dream of running again.",The Running Dream,Wendelin Van Draanen,,"Jessica was a below-knee amputee after a car accident which injured her leg. Her supportive track teammates raise money to get her a running leg, and she runs the ten-mile River Run for her friend, Rosa to see the finish line.","Jessica, because she over came many obstacles and also uses her talents to aide other people such as Rosa a girl with cerebral palsy, see the finish line of a race.","One of my friends suggested it and said it was a great book, and my school librarian agreed.","I liked that it has a message that a goal can be reached, at rock bottom, the only way left to go is up, at that your personal experiences can help other people.","This book is very inspiring. The audience is not just limited to runners or people who play sports, but also just people who would enjoy some inspiration.",5/5,,10.0,5.0,
6,6,95141,9780316201544,"After decades of hiding, the evil Enchantress who cursed Sleeping Beauty is
back with a vengeance. Alex and Conner Bailey have not been back to the
magical Land of Stories since their adventures in The Wishing Spell ended.
But one night, they learn the famed Enchantress has kidnapped their mother!
Against the will of their grandmother, the twins must find their own way
into the Land of Stories to rescue their mother and save the fairy tale
world from the greatest threat it's ever faced.",The Land of Stories : The Enchantress Returns ,Chris Colfer,,Alex and Conner travel to the land of stories once again to defeat the enchantress that cursed sleeping beauty read the book to find out if they defeat her.,my favorite character is Alex because she is brave.,I read the first book and i enjoyed it so I thought would read the 2nd book,I liked the book because it had a lot of magic.,it it one of my favorite books,5/5,,8.0,6.0,
7,7,95135,60095903,"Jessie's helped the magical people of the Realm to escape danger twice now -- she's a real hero to her friends there. But now her own world is in danger. Forest fires threaten her beloved home, Blue Moon. And only the magic of the realm can help her.",The Third Wish,Emily Rodda,"This is the third book in Emily Rodda's ""Fairy Realm"" series.",Jessie has to go to the Fairy Realm to find a wish stone to save her land from a fire that is coming.  But the only wish stones that are left are in an underwater cave with an evil person.  Read the book to see if she gets the wish stone and saves her land.,My favorite character in the story is Jesse because she is kind and brave.,I read this book because it had an interesting cover and I had read the 1st and 2nd and enjoyed them.,I liked this story because it has magic and many magical creatures in it.  ,This book got my attention right away and is very fun to read.,5/5,,8.0,7.0,
8,8,95097,9781465444578,"Get a close-up look at the lives of sea otters and watch them eat, play, groom, and dive together. Filled with bold, adorable images of these aquatic creatures in their natural habitat, Sea Otters explores a day in the life of these furry, whiskered marine mammals. Perfect for 3-5 year olds learning to read, Level 1 titles contain short, simple sentences with an emphasis on frequently used words. Stunning photographic images with labels provide visual clues to introduce and reinforce vocabulary. Trusted by parents, teachers, and librarians, and loved by kids, DK's leveled reading series is now revised and updated. With shiny new jackets and brand new nonfiction narrative content on the topics kids love, each book is written and reviewed by literacy experts, and contains a glossary and index making them the perfect choice for helping develop strong reading habits for kids ages 3-11.",Sea Otters,"editor, Arpita Nath",,Otters,Otters,I like otters.,Because it's cute!,no,5/5,,4.0,8.0,
9,9,95096,9781338055023,"Once upon a time in Fairyland. . . . Jack Frost is up to his old tricks
again. He has sent his goblins to steal the Storybook Fairies' magic
objects -- and now readers' favorite stories are all mixed up. Rosalie's
magic hairbrush is missing-- only Rachel and Kirsty can help her get it
back!",Rosalie the Rapunzel Fairy,Daisy Meadows,"Find Daisy Meadow's ""Rainbow Magic"" books in our Juvenile First Chapter Book section.",Jack Frost and his Goblins stole the magic hairbrush and it's kind of funny when Jack Frost sings silly songs.,Rosalie the Rapunzel Fairy because she helps Rachel and Kirsty get the magic hairbrush back.,Because I've read all of the other storybook fairies.,I liked it because Jack Frost sings silly songs.,It's funny!,5/5,,6.0,9.0,
